id,name,genre,author,date_pub,pages,price,rating
1,Капитанская дочка,5,Александр Пушкин,1836-01-01,130,150,4.7
2,Отцы и дети,1,Иван Тургенев,1861-01-01,240,207,4.7
3,Вишнёвый сад,7,Антон Чехов,1903-01-01,60,138,4.4
4,Война и мир,1,Лев Толстой,1869-01-01,1274,,4.4
5,Анна Каренина,1,Лев    Толстой,1878-01-01,1000,126,4.6
6,Цветы для Элджернона,4,Дэниел    Киз,1959-01-01,250,280,4.7
7,Похороните меня за плинтусом...,5,Павел    Санаев,1994-01-01,184,198,4.1
8,Зелёная миля,9,Стивен    Кинг,1996-01-01,420,190,4.8
9,Унесённые ветром,1,Маргарет    Митчел,1936-01-01,624,358,
10,Три товарища,1,Эрих Мария Ремарк,1929-01-01,470,196,4.7
11,На Западном фронте без перемен,4,Эрих Мария Ремарк,1945-01-01,200,273,4.6
12,Триумфальная арка,1,Эрих Мария    Ремарк,1956-01-01,520,220,4.7
13,Чёрный обелиск,1,Эрих Мария Ремарк,1961-01-01,480,420,4.6
14,Ночь в Лиссабоне,1,Эрих Мария Ремарк,1959-01-01,250,187,4.7
15,Жизнь взаймы,1,Эрих Мария    Ремарк,1927-01-01,240,240,4.6
16,Станция на горизонте,1,Эрих Мария Ремарк,1830-01-01,210,,4.1
17,Евгений Онегин,1,Александр    Пушкин,1820-01-01,736,330,4.7
